stop_id,stop_code,stop_name,stop_lon,stop_lat,stop_timezone,location_type,parent_station,platform_code
ac,ac,Abcoude,4.97677,52.278942,Europe/Amsterdam,1,,
ac|0,,Abcoude,4.97677,52.278942,,0,ac,
ac|2,,Abcoude Perron 2,4.97677,52.278942,,0,ac,2
ac|3,,Abcoude Perron 3,4.97677,52.278942,,0,ac,3
ah,ah,Arnhem,5.90136,51.984533,Europe/Amsterdam,1,,
ah|0,,Arnhem,5.90136,51.984533,,0,ah,
ah|10,,Arnhem Perron 10,5.90136,51.984533,,0,ah,10
ah|11,,Arnhem Perron 11,5.90136,51.984533,,0,ah,11
ah|3,,Arnhem Perron 3,5.90136,51.984533,,0,ah,3
ah|4,,Arnhem Perron 4,5.90136,51.984533,,0,ah,4
ah|6a,,Arnhem Perron 6a,5.90136,51.984533,,0,ah,6a
ah|6b,,Arnhem Perron 6b,5.90136,51.984533,,0,ah,6b
ah|7,,Arnhem Perron 7,5.90136,51.984533,,0,ah,7
ah|8,,Arnhem Perron 8,5.90136,51.984533,,0,ah,8
ah|9,,Arnhem Perron 9,5.90136,51.984533,,0,ah,9
ahbf,ahbf,Aachen Hbf,6.09053,50.768073,Europe/Amsterdam,1,,
ahbf|0,,Aachen Hbf,6.09053,50.768073,,0,ahbf,
ahp,ahp,Arnhem Velperpoort,5.92029,51.984899,Europe/Amsterdam,1,,
ahp|0,,Arnhem Velperpoort,5.92029,51.984899,,0,ahp,
ahp|1,,Arnhem Velperpoort Perron 1,5.92029,51.984899,,0,ahp,1
ahp|2,,Arnhem Velperpoort Perron 2,5.92029,51.984899,,0,ahp,2
ahpr,ahpr,Arnhem Presikhaaf,5.94303,51.987310,Europe/Amsterdam,1,,
ahpr|0,,Arnhem Presikhaaf,5.94303,51.987310,,0,ahpr,
ahpr|1,,Arnhem Presikhaaf Perron 1,5.94303,51.987310,,0,ahpr,1
ahpr|2,,Arnhem Presikhaaf Perron 2,5.94303,51.987310,,0,ahpr,2
ahz,ahz,Arnhem Zuid,5.85200,51.955167,Europe/Amsterdam,1,,
ahz|0,,Arnhem Zuid,5.85200,51.955167,,0,ahz,
ahz|1,,Arnhem Zuid Perron 1,5.85200,51.955167,,0,ahz,1
ahz|2,,Arnhem Zuid Perron 2,5.85200,51.955167,,0,ahz,2
aime,aime,Aime-la-Plagne,6.64760,45.549796,Europe/Amsterdam,1,,
aime|0,,Aime-la-Plagne,6.64760,45.549796,,0,aime,
aixtgv,aixtgv,Aix-en Provence TGV,5.31722,43.455000,Europe/Amsterdam,1,,
aixtgv|0,,Aix-en Provence TGV,5.31722,43.455000,,0,aixtgv,
akl,akl,Arkel,4.99297,51.872194,Europe/Amsterdam,1,,
akl|0,,Arkel,4.99297,51.872194,,0,akl,
akl|1,,Arkel Perron 1,4.99297,51.872194,,0,akl,1
akm,akm,Akkrum,5.84276,53.047619,Europe/Amsterdam,1,,
akm|0,,Akkrum,5.84276,53.047619,,0,akm,
akm|2,,Akkrum Perron 2,5.84276,53.047619,,0,akm,2
akm|3,,Akkrum Perron 3,5.84276,53.047619,,0,akm,3
albert,albert,Albertville,6.38465,45.660264,Europe/Amsterdam,1,,
albert|0,,Albertville,6.38465,45.660264,,0,albert,
alm,alm,Almere Centrum,5.21891,52.375163,Europe/Amsterdam,1,,
alm|0,,Almere Centrum,5.21891,52.375163,,0,alm,
alm|1,,Almere Centrum Perron 1,5.21891,52.375163,,0,alm,1
alm|2,,Almere Centrum Perron 2,5.21891,52.375163,,0,alm,2
alm|3,,Almere Centrum Perron 3,5.21891,52.375163,,0,alm,3
alm|4,,Almere Centrum Perron 4,5.21891,52.375163,,0,alm,4
almb,almb,Almere Buiten,5.27834,52.394466,Europe/Amsterdam,1,,
almb|0,,Almere Buiten,5.27834,52.394466,,0,almb,
almb|1,,Almere Buiten Perron 1,5.27834,52.394466,,0,almb,1
almb|2,,Almere Buiten Perron 2,5.27834,52.394466,,0,almb,2
almm,almm,Almere Muziekwijk,5.19061,52.367570,Europe/Amsterdam,1,,
almm|0,,Almere Muziekwijk,5.19061,52.367570,,0,almm,
almm|1,,Almere Muziekwijk Perron 1,5.19061,52.367570,,0,almm,1
