stop_id,stop_code,stop_name,stop_lon,stop_lat,stop_timezone,location_type,parent_station,platform_code
ut|8a,,Utrecht Centraal Spoor 8a,5.10916292667,52.0907137044,,0,ut,8a
ut|8b,,Utrecht Centraal Spoor 8b,5.11106193066,52.0889964717,,0,ut,8b
nwl,nwl,Schiedam Nieuwland,4.3836401403,51.9228665894,Europe/Amsterdam,1,,
wt|0,,Weert,5.70254802704,51.2483444826,,0,wt,
wt|3,,Weert Spoor 3,5.70402,51.249066,,0,wt,3
wt|2,,Weert Spoor 2,5.70314347744,51.2487809992,,0,wt,2
amf|6a,,Amersfoort Spoor 6a,5.36957859993,52.1538395292,,0,amf,6a
amf|6b,,Amersfoort Spoor 6b,5.37296891212,52.1538954813,,0,amf,6b
nwk,nwk,Nieuwerkerk ad IJssel,4.61695879698,51.965373675,Europe/Amsterdam,1,,
almp|2,,Almere Parkwijk Spoor 2,5.24476468563,52.3766766002,,0,almp,2
kn|0,,Kaldenkirchen,6.2027,51.32718,,0,kn,
paris,paris,Paris-Nord,2.35503,48.880506,Europe/Amsterdam,1,,
almp|1,,Almere Parkwijk Spoor 1,5.24473786354,52.3768010425,,0,almp,1
wp|5,,Weesp Spoor 5,5.04354536533,52.3126274503,,0,wp,5
gbg|2,,Gramsbergen Spoor 2,6.67628109455,52.6097454515,,0,gbg,2
gbg|1,,Gramsbergen Spoor 1,6.67616307735,52.6097894277,,0,gbg,1
aml|4,,Almelo Spoor 4,6.65347158909,52.3583994154,,0,aml,4
aml|3,,Almelo Spoor 3,6.65208220482,52.3591987909,,0,aml,3
aml|2,,Almelo Spoor 2,6.6533267498,52.3583437206,,0,aml,2
kander,kander,Kandersteg,7.671005,46.494951,Europe/Amsterdam,1,,
kander|0,,Kandersteg,7.671005,46.494951,,0,kander,
ehb|1,,Eindhoven Beukenlaan Spoor 1,5.45664846897,51.4508244557,,0,ehb,1
aml|0,,Almelo,6.65590167046,52.3574919101,,0,aml,
asd|11a,,Amsterdam Centraal Spoor 11a,4.89978969097,52.3794699193,,0,asd,11a
wl|0,,Wehl,6.21367514133,51.957404082,,0,wl,
zbm|2,,Zaltbommel Spoor 2,5.26323437691,51.8081172342,,0,zbm,2
asd|11b,,Amsterdam Centraal Spoor 11b,4.90158677101,52.3788215444,,0,asd,11b
wupph|0,,Wuppertal Hbf,7.14935,51.254306,,0,wupph,
ht|1b,,Hertogenbosch ('s) Spoor 1b,5.29348433018,51.6891593397,,0,ht,1b
ht|1a,,Hertogenbosch ('s) Spoor 1a,5.29441773891,51.6913874035,,0,ht,1a
wh|1,,Wijhe Spoor 1,6.14084243774,52.3908673182,,0,wh,1
wh|0,,Wijhe,6.14077806473,52.3910833852,,0,wh,
wh|2,,Wijhe Spoor 2,6.14099264145,52.3908345806,,0,wh,2
assp|2,,Amsterdam Science Park Spoor 2,4.94953393936,52.3525379787,,0,assp,2
assp|1,,Amsterdam Science Park Spoor 1,4.94931936264,52.352354489,,0,assp,1
assp|0,,Amsterdam Science Park,4.94839668274,52.3525445318,,0,assp,
zdk,zdk,Zaandam Kogerveld,4.81926977634,52.4567628717,Europe/Amsterdam,1,,
rb|2,,Rilland-Bath Spoor 2,4.16206419468,51.4226975647,,0,rb,2
wd|1,,Woerden Spoor 1,4.89299297333,52.0850475746,,0,wd,1
wd|0,,Woerden,4.89286959171,52.0855453263,,0,wd,
wd|2,,Woerden Spoor 2,4.89296078682,52.0850904277,,0,wd,2
wd|5,,Woerden Spoor 5,4.89324510098,52.0848530874,,0,wd,5
wd|6,,Woerden Spoor 6,4.89327192307,52.0848168269,,0,wd,6
mrb|0,,Marienberg,6.57389044762,52.5090564536,,0,mrb,
mrb|1,,Marienberg Spoor 1,6.57470315695,52.5092164373,,0,mrb,1
mrb|2,,Marienberg Spoor 2,6.57484531403,52.5091429755,,0,mrb,2
mrb|3,,Marienberg Spoor 3,6.57488018274,52.5091364455,,0,mrb,3
almo|4,,Almere Oostvaarders Spoor 4,5.30023276806,52.4029948996,,0,almo,4
hfd|4,,Hoofddorp Spoor 4,4.6988761425,52.2926964119,,0,hfd,4
almo|1,,Almere Oostvaarders Spoor 1,5.30002355576,52.4032076344,,0,almo,1
hfd|2,,Hoofddorp Spoor 2,4.69847381115,52.2928079667,,0,hfd,2
hfd|1,,Hoofddorp Spoor 1,4.69840407372,52.2928637439,,0,hfd,1
hfd|0,,Hoofddorp,4.69914972782,52.2921255094,,0,hfd,
brd|1,,Barendrecht Spoor 1,4.55317854881,51.8549427443,,0,brd,1
brd|0,,Barendrecht,4.55191254616,51.8554529984,,0,brd,
brd|3,,Barendrecht Spoor 3,4.55298006535,51.8548599103,,0,brd,3
brd|2,,Barendrecht Spoor 2,4.55313563347,51.8549162374,,0,brd,2
wtv|0,,Westervoort,5.96782922745,51.9636384011,,0,wtv,
wtv|1,,Westervoort Spoor 1,5.9685587883,51.9634599119,,0,wtv,1
wtv|2,,Westervoort Spoor 2,5.96839785576,51.9633805832,,0,wtv,2
ebbs,ebbs,Ebbsfleet International,0.31635,51.444011,Europe/London,1,,
mes,mes,Meerssen,5.7506775856,50.8827304764,Europe/Amsterdam,1,,
avtgv,avtgv,Avignon TGV,4.78626251221,43.9216371283,Europe/Amsterdam,1,,
ck|1,,Cuijk Spoor 1,5.87396,51.72722,,0,ck,1
ebeo|0,,Boenen,7.75735,51.598055,,0,ebeo,
gln,gln,Geleen Oost,5.84333181381,50.9674848366,Europe/Amsterdam,1,,
drp,drp,Dronrijp,5.63474,53.177807,Europe/Amsterdam,1,,
pmr|0,,Purmerend,4.95391130447,52.5038566686,,0,pmr,
pmr|1,,Purmerend Spoor 1,4.95410174131,52.503714625,,0,pmr,1
pmr|2,,Purmerend Spoor 2,4.95426669717,52.5036738078,,0,pmr,2
drh,drh,Driehuis,4.638209939,52.4424560103,Europe/Amsterdam,1,,
akm,akm,Akkrum,5.84292411804,53.0476180204,Europe/Amsterdam,1,,
akl,akl,Arkel,4.99302327633,51.8722831697,Europe/Amsterdam,1,,
amri|0,,Almelo de Riet,6.66684508324,52.342218782,,0,amri,
bll|2,,Bloemendaal Spoor 2,4.6275562048,52.403963653,,0,bll,2
bll|1,,Bloemendaal Spoor 1,4.62742209435,52.4039865625,,0,bll,1
bll|0,,Bloemendaal,4.62720751762,52.404192747,,0,bll,
brn,brn,Baarn,5.28172016144,52.2083561771,Europe/Amsterdam,1,,
brd,brd,Barendrecht,4.55227732658,51.8555987842,Europe/Amsterdam,1,,
btl|3,,Boxtel Spoor 3,5.31870782375,51.5847999123,,0,btl,3
btl|2,,Boxtel Spoor 2,5.3187507391,51.584843244,,0,btl,2
btl|0,,Boxtel,5.31935691833,51.5849765721,,0,btl,
btl|7,,Boxtel Spoor 7,5.31838595867,51.5846332514,,0,btl,7
btl|6,,Boxtel Spoor 6,5.31846106052,51.5846599172,,0,btl,6
vz|0,,Vriezenveen,6.60094857216,52.4018559326,,0,vz,
vz|1,,Vriezenveen Spoor 1,6.6004550457,52.4020392166,,0,vz,1
vz|2,,Vriezenveen Spoor 2,6.60039067268,52.4020130332,,0,vz,2
aixtgv|0,,Aix-en Provence TGV,5.31722,43.455,,0,aixtgv,
mrn|0,,Maarn,5.37086606026,52.0644865697,,0,mrn,
lwc,lwc,Leeuwarden Camminghaburen,5.84256470203,53.202186465,Europe/Amsterdam,1,,
mrn|2,,Maarn Spoor 2,5.37030279636,52.0641270965,,0,mrn,2
apg|2,,Appingedam Spoor 2,6.8615090847,53.3259135327,,0,apg,2
apg|1,,Appingedam Spoor 1,6.86151444912,53.3258590652,,0,apg,1
apg|0,,Appingedam,6.86229228973,53.3257180903,,0,apg,
vem|1,,Voorst-Empe Spoor 1,6.14376068115,52.1576046212,,0,vem,1
vem|0,,Voorst-Empe,6.14371240139,52.1578119553,,0,vem,
nkk,nkk,Nijkerk,5.49343496561,52.2221129213,Europe/Amsterdam,1,,
wm|0,,Wormerveer,4.79308336973,52.4894997832,,0,wm,
wm|2,,Wormerveer Spoor 2,4.7925978899,52.4893086966,,0,wm,2
wm|3,,Wormerveer Spoor 3,4.79255765676,52.4892450009,,0,wm,3
eun|0,,Unna,7.69241,51.53902,,0,eun,
mg,mg,Mantgum,5.71334660053,53.1297114948,Europe/Amsterdam,1,,
gbg|0,,Gramsbergen,6.67606651783,52.6102910782,,0,gbg,
ma,ma,Augsburg Hbf,10.8856,48.365473,Europe/Amsterdam,1,,
wp|1,,Weesp Spoor 1,5.0432986021,52.3124044403,,0,wp,1
ebft|0,,Burgsteinfurt,7.32919,52.147541,,0,ebft,
mt,mt,Maastricht,5.70544481277,50.8497439807,Europe/Amsterdam,1,,
mp,mp,Meppel,6.19760602713,52.6918939124,Europe/Amsterdam,1,,
wp|2,,Weesp Spoor 2,5.04334151745,52.3124470746,,0,wp,2
mz,mz,Maarheeze,5.6306219101,51.3038965117,Europe/Amsterdam,1,,
cas|2,,Castricum Spoor 2,4.65871274471,52.5456758731,,0,cas,2
wl|1,,Wehl Spoor 1,6.2134256959,51.9570834176,,0,wl,1
cas|0,,Castricum,4.65902388096,52.5458879193,,0,cas,
cas|1,,Castricum Spoor 1,4.65886831284,52.5457019711,,0,cas,1
zbm|1,,Zaltbommel Spoor 1,5.26338458061,51.808120551,,0,zbm,1
fffm|0,,Frankfurt (M) Hbf,8.66383,50.10712,,0,fffm,
sgl|2,,Houthem-St Gerlach Spoor 2,5.79647898674,50.8734510464,,0,sgl,2
sgl|1,,Houthem-St Gerlach Spoor 1,5.7964682579,50.8733511847,,0,sgl,1
sgl|0,,Houthem-St Gerlach,5.79582989216,50.8735847591,,0,sgl,
wl|2,,Wehl Spoor 2,6.21344178915,51.9570635826,,0,wl,2
mars|0,,Marseille-St-Charles,5.38278579712,43.3035698185,,0,mars,
mdb|2,,Middelburg Spoor 2,3.6174684763,51.4947908665,,0,mdb,2
mdb|0,,Middelburg,3.61777961254,51.495311874,,0,mdb,
mdb|1,,Middelburg Spoor 1,3.61740410328,51.4949211189,,0,mdb,1
hon,hon,Holten,6.42132639885,52.2840106801,Europe/Amsterdam,1,,
hor,hor,Hollandsche Rading,5.17916053534,52.1780651566,Europe/Amsterdam,1,,
ledn|9a,,Leiden Centraal Spoor 9a,4.48297977448,52.1673203124,,0,ledn,9a
ledn|9b,,Leiden Centraal Spoor 9b,4.48109149933,52.165905458,,0,ledn,9b
vb|0,,Voorburg,4.35810685158,52.0670687552,,0,vb,
vb|1,,Voorburg Spoor 1,4.3592749536,52.0666573633,,0,vb,1
vb|2,,Voorburg Spoor 2,4.35931518674,52.0667093028,,0,vb,2
